,finalized_nn_model,finalized_nn_model,finalized_nn_model
0,8.370641172000033,8.370641172000033,8.370641172000033
1,8.370641172000033,8.370641172000033,8.370641172000033
2,5.375363205465355,5.375363205465355,5.375363205465355
3,8.370549414216262,8.370549414216262,8.370549414216262
4,7.416193815862595,7.416193815862595,7.416193815862595
5,7.258395751358084,7.258395751358084,7.258395751358084
6,7.198640539124151,7.198640539124151,7.198640539124151
7,8.370641172000033,8.370641172000033,8.370641172000033
8,8.370641170669867,8.370641170669867,8.370641170669867
9,5.3578019361306435,5.3578019361306435,5.3578019361306435
10,4.420999972576132,4.420999972576132,4.420999972576132
11,8.370641171818509,8.370641171818509,8.370641171818509
12,3.5155396208141774,3.5155396208141774,3.5155396208141774
13,8.370641172000033,8.370641172000033,8.370641172000033
14,8.370641172000033,8.370641172000033,8.370641172000033
15,7.255656256490305,7.255656256490305,7.255656256490305
16,7.258395842184746,7.258395842184746,7.258395842184746
17,8.370641172000033,8.370641172000033,8.370641172000033
18,8.370641172000033,8.370641172000033,8.370641172000033
19,8.370641172000033,8.370641172000033,8.370641172000033
20,2.1005670922795945,2.1005670922795945,2.1005670922795945
21,3.8183896961601635,3.8183896961601635,3.8183896961601635
22,8.370641172000033,8.370641172000033,8.370641172000033
23,5.345413851185525,5.345413851185525,5.345413851185525
24,3.8450848667727335,3.8450848667727335,3.8450848667727335
25,0.45662645692661563,0.45662645692661563,0.45662645692661563
26,2.3357400955599874,2.3357400955599874,2.3357400955599874
27,8.370641172000033,8.370641172000033,8.370641172000033
28,8.370641172000033,8.370641172000033,8.370641172000033
29,7.144808768347476,7.144808768347476,7.144808768347476
30,7.258395751469765,7.258395751469765,7.258395751469765
31,5.356403454461757,5.356403454461757,5.356403454461757
32,3.820818297183364,3.820818297183364,3.820818297183364
33,4.136029342616364,4.136029342616364,4.136029342616364
34,8.370641171999631,8.370641171999631,8.370641171999631
35,8.370641172000033,8.370641172000033,8.370641172000033
36,8.370641172000033,8.370641172000033,8.370641172000033
37,1.1178051076876274,1.1178051076876274,1.1178051076876274
38,2.3709274780820486,2.3709274780820486,2.3709274780820486
39,4.993740083757756,4.993740083757756,4.993740083757756
40,8.425125338818475,8.425125338818475,8.425125338818475
41,3.4668351578584717,3.4668351578584717,3.4668351578584717
42,8.370641172000033,8.370641172000033,8.370641172000033
43,8.370641172000033,8.370641172000033,8.370641172000033
44,8.370641172000033,8.370641172000033,8.370641172000033
45,7.258395751358084,7.258395751358084,7.258395751358084
46,8.370641172000033,8.370641172000033,8.370641172000033
47,3.622826641075186,3.622826641075186,3.622826641075186
48,8.5334093856161,8.5334093856161,8.5334093856161
49,3.5522501338433874,3.5522501338433874,3.5522501338433874
50,2.107776565344416,2.107776565344416,2.107776565344416
51,8.370641172000033,8.370641172000033,8.370641172000033
52,8.370641172000033,8.370641172000033,8.370641172000033
53,8.370641172000033,8.370641172000033,8.370641172000033
54,6.467238620207668,6.467238620207668,6.467238620207668
55,4.674967366100743,4.674967366100743,4.674967366100743
56,6.926340970953347,6.926340970953347,6.926340970953347
57,3.829774767984488,3.829774767984488,3.829774767984488
58,8.370641172000033,8.370641172000033,8.370641172000033
59,8.542782115989402,8.542782115989402,8.542782115989402
60,8.370641172000033,8.370641172000033,8.370641172000033
61,3.6238783894867566,3.6238783894867566,3.6238783894867566
62,3.345005916208745,3.345005916208745,3.345005916208745
63,8.370641172000033,8.370641172000033,8.370641172000033
64,8.370641160773278,8.370641160773278,8.370641160773278
65,4.693161208171542,4.693161208171542,4.693161208171542
66,4.60914783562149,4.60914783562149,4.60914783562149
67,4.755469488099656,4.755469488099656,4.755469488099656
68,8.370641172000033,8.370641172000033,8.370641172000033
69,7.258395752902702,7.258395752902702,7.258395752902702
70,3.2411678513819355,3.2411678513819355,3.2411678513819355
71,8.367892387852798,8.367892387852798,8.367892387852798
72,4.420999972576132,4.420999972576132,4.420999972576132
73,7.258395751358084,7.258395751358084,7.258395751358084
74,5.355972600059172,5.355972600059172,5.355972600059172
75,6.58394147128974,6.58394147128974,6.58394147128974
76,7.199424789456971,7.199424789456971,7.199424789456971
77,8.54278209094257,8.54278209094257,8.54278209094257
78,8.065204990386242,8.065204990386242,8.065204990386242
79,8.370641171780845,8.370641171780845,8.370641171780845
80,8.370641172000033,8.370641172000033,8.370641172000033
81,4.009520072453164,4.009520072453164,4.009520072453164
82,3.4773378950509577,3.4773378950509577,3.4773378950509577
83,5.3416838285283585,5.3416838285283585,5.3416838285283585
84,8.370641172000033,8.370641172000033,8.370641172000033
85,7.198667279205146,7.198667279205146,7.198667279205146
86,3.6542559915956385,3.6542559915956385,3.6542559915956385
87,3.3637505343529126,3.3637505343529126,3.3637505343529126
88,1.0769774254171063,1.0769774254171063,1.0769774254171063
89,8.370641171999983,8.370641171999983,8.370641171999983
90,8.370641172000033,8.370641172000033,8.370641172000033
91,8.370641172000033,8.370641172000033,8.370641172000033
92,8.370641102335261,8.370641102335261,8.370641102335261
93,1.4550388936301397,1.4550388936301397,1.4550388936301397
94,3.3238048224618555,3.3238048224618555,3.3238048224618555
95,7.198641639014726,7.198641639014726,7.198641639014726
96,7.3891841136152685,7.3891841136152685,7.3891841136152685
97,8.370641172000033,8.370641172000033,8.370641172000033
98,0.5945245788017877,0.5945245788017877,0.5945245788017877
99,7.198656306299745,7.198656306299745,7.198656306299745
100,8.370641172000033,8.370641172000033,8.370641172000033
101,7.2349061135947945,7.2349061135947945,7.2349061135947945
102,2.372299700527782,2.372299700527782,2.372299700527782
103,8.370641172000033,8.370641172000033,8.370641172000033
104,-4.173420098366201,-4.173420098366201,-4.173420098366201
105,3.646443691216125,3.646443691216125,3.646443691216125
106,7.177552746241406,7.177552746241406,7.177552746241406
107,7.1986416232576405,7.1986416232576405,7.1986416232576405
108,3.168769362755267,3.168769362755267,3.168769362755267
109,7.258395751358085,7.258395751358085,7.258395751358085
110,8.370641172000033,8.370641172000033,8.370641172000033
111,2.3433474805016608,2.3433474805016608,2.3433474805016608
112,3.4147156697029457,3.4147156697029457,3.4147156697029457
113,8.370641172000033,8.370641172000033,8.370641172000033
114,4.611792163883644,4.611792163883644,4.611792163883644
